Frequency,Year0,Year100,Year200,Year300,Year400,Year500,Year600,Year700,Year800,Year900,Year1000,Year1100,Year1200,Year1300,Year1400,Year1500,Year1600,Year1700,Year1800,Year1900,Year2000,Year2100,Year2200,Year2300,Year2400,Year2500,Year2600,Year2700,Year2800,Year2900,Year3000,Year3100,Year3200,Year3300,Year3400,Year3500,Year3600,Year3700,Year3800,Year3900,Year4000,Year4100,Year4200,Year4300,Year4400,Year4500,Year4600,Year4700,Year4800,Year4900,Year5000,Year5100,Year5200,Year5300,Year5400,Year5500,Year5600,Year5700,Year5800,Year5900,Year6000,Year6100,Year6200,Year6300,Year6400,Year6500,Year6600,Year6700,Year6800,Year6900,Year7000,Year7100,Year7200,Year7300,Year7400,Year7500,Year7600,Year7700,Year7800,Year7900,Year8000,Year8100,Year8200,Year8300,Year8400,Year8500,Year8600,Year8700,Year8800,Year8900,Year9000,Year9100,Year9200,Year9300,Year9400,Year9500,Year9600,Year9700,Year9800,Year9900,Year10000
0.85,0,0,0,0,7,8,9,7,7,11,7,8,5,8,5,7,3,8,13,18,12,15,7,18,11,13,15,15,10,11,19,25,18,13,16,27,21,17,18,20,21,20,14,15,20,18,19,22,18,24,32,19,20,24,27,26,20,26,36,35,17,17,24,26,29,30,24,24,28,27,22,23,17,27,30,26,33,22,23,31,29,30,30,33,34,30,15,25,31,19,27,24,25,39,21,31,41,30,19,30,34
0.86,0,0,0,0,7,7,9,7,7,4,5,8,8,8,6,5,6,5,9,13,20,14,14,14,13,6,4,13,11,23,12,12,14,14,20,10,17,11,15,14,20,30,25,21,14,18,26,23,29,20,19,37,26,21,15,20,20,25,24,28,19,22,17,17,20,19,18,34,32,12,22,29,23,23,26,29,29,22,33,34,29,25,25,23,28,18,30,29,31,29,24,24,24,24,29,30,26,18,21,22,19
0.87,0,0,0,0,1,5,7,5,4,7,5,8,11,4,7,8,6,9,7,7,7,12,12,10,10,17,12,15,16,10,14,14,12,10,13,17,6,18,17,12,13,18,25,24,31,19,12,18,17,18,18,11,16,15,19,16,23,23,20,21,24,18,21,15,19,26,19,11,15,24,17,16,29,21,25,28,24,24,26,27,24,22,23,32,21,27,26,29,23,26,27,29,26,28,36,24,18,21,30,26,29
0.88,0,0,0,0,1,7,4,2,4,5,6,5,6,5,5,4,8,6,7,8,8,11,12,11,10,6,16,13,15,9,8,8,10,13,6,8,13,10,6,13,12,17,17,13,12,18,16,16,19,21,19,15,13,18,23,19,16,15,16,20,25,25,17,13,17,10,26,17,15,21,23,18,26,24,14,23,21,19,19,16,25,22,25,28,37,35,28,22,14,29,24,28,32,37,28,24,27,32,24,28,27
0.89,0,0,0,0,0,4,1,5,3,2,5,5,2,6,5,2,3,4,5,6,7,9,14,8,9,14,10,15,8,11,7,10,13,8,10,12,14,15,13,17,11,14,14,19,13,18,18,11,4,13,12,15,16,17,14,13,13,16,17,12,19,17,22,29,22,19,18,18,17,14,16,28,13,21,23,26,26,26,25,18,16,28,16,20,25,25,25,19,21,19,20,22,24,24,26,35,31,26,33,34,26
0.90,0,0,0,0,0,1,3,0,1,4,3,2,3,4,3,6,3,3,4,2,6,3,2,8,10,11,10,9,9,10,14,17,9,8,11,12,8,11,12,13,11,8,19,12,12,13,12,18,14,7,14,14,19,13,19,18,18,12,15,15,17,18,21,19,15,19,12,18,12,14,17,13,16,14,18,17,22,22,21,18,22,21,33,23,19,12,19,21,24,16,24,22,24,21,20,16,15,21,24,18,25
0.91,0,0,0,0,0,1,1,1,0,1,1,1,1,3,2,1,4,3,1,2,4,4,4,6,8,7,10,7,9,9,12,7,8,12,7,6,7,8,16,9,16,16,9,6,14,5,13,7,9,11,8,13,11,18,16,16,12,15,17,18,14,11,12,17,20,14,11,16,18,17,15,14,21,14,14,17,23,26,14,19,20,17,21,23,23,24,15,16,23,24,27,21,16,13,12,26,22,27,19,24,25
0.92,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,2,1,2,3,3,3,3,2,5,6,6,6,6,9,5,5,7,10,9,10,6,10,8,4,8,8,11,10,15,11,11,8,11,11,9,8,10,11,13,11,17,19,12,8,12,12,15,14,11,12,16,26,11,14,18,16,15,16,17,17,18,17,17,19,19,16,22,16,13,14,23,24,21,21,22,18,14,16,12,24,21,24,16,17,15,16
0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,5,4,6,4,6,6,3,7,7,7,3,7,8,8,8,9,8,10,12,13,7,7,7,11,8,7,8,12,13,9,10,8,9,10,11,10,10,11,12,11,11,12,12,9,12,14,13,15,20,10,16,19,16,13,9,16,24,17,14,14,9,12,14,17,14,13,18,21,16,22,25,14,25,19,13,15,16,20,17,20,18,22,25,19
0.94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,2,3,2,3,3,3,7,4,4,3,6,1,4,6,7,6,8,2,7,7,9,7,15,5,5,11,8,7,10,13,8,12,13,18,5,8,8,10,10,15,18,17,11,12,12,12,17,11,12,13,14,15,14,17,20,16,11,16,13,12,19,16,19,19,14,18,16,15,25,14,27,19,19,21,29,22,25,16,18,18,21,25,19,18
0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,2,2,6,4,3,5,7,3,8,5,4,3,5,9,6,3,5,13,4,8,8,4,5,4,8,7,10,13,9,11,15,10,7,8,7,7,7,9,8,9,8,10,11,21,15,21,18,17,15,19,18,16,15,13,15,14,17,18,13,10,19,19,14,16,12,21,6,20,16,18,25,21,19,15,19,24,19,14,15,19
0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,3,3,1,1,1,2,1,8,4,1,5,4,1,7,10,5,7,4,9,5,9,9,6,7,7,5,8,7,10,6,9,9,11,9,10,7,9,7,13,10,13,7,12,9,14,8,11,12,15,9,14,14,17,12,13,13,9,12,13,14,14,9,16,9,15,18,20,20,14,15,10,21,15,20,18,12,20,15,12,18
0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,2,5,4,3,3,0,3,5,0,3,1,4,6,4,0,5,4,2,2,6,2,5,5,6,5,6,4,6,4,2,5,8,9,7,5,8,7,11,11,12,15,21,9,8,6,11,14,10,10,12,14,10,9,15,11,9,9,9,16,17,15,18,11,14,15,11,15,13,17,12,15,16,19,14,14,12,16,19,18,16
0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,1,4,2,1,4,4,5,4,3,3,7,1,0,4,3,3,5,3,4,8,4,7,5,3,3,5,2,3,6,8,8,7,9,9,8,10,6,6,11,10,9,9,12,11,12,10,7,11,11,15,17,13,13,19,15,14,12,11,18,19,13,11,12,16,16,18,13,16,22,16,20,24,18,16,19,19
0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,0,0,2,1,0,0,1,1,0,2,3,3,1,7,5,5,3,2,1,3,6,1,4,2,3,7,7,4,5,7,3,6,7,6,6,3,5,8,9,9,8,9,11,9,7,8,9,14,14,15,11,14,15,19,22,20,17,14,12,12,13,13,15,18,16,15,9,17,18,12,8,20,17,15,19,24,25,22
1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,4,4,4,5,6,5,5,5,5,6,9,8,11,13,13,12,12,13,13,15,16,15,17,17,18,17,18,18,20,20,20,22,21,20,22,23,24,25,24,26,26,30,31,29,31,31,38,34,36,39,39,39,42,49,53,55,54,58,59,61,63,64,71,68,71,75,78,79,81,84,85,87,88,93
