Frequency,Year0,Year100,Year200,Year300,Year400,Year500,Year600,Year700,Year800,Year900,Year1000,Year1100,Year1200,Year1300,Year1400,Year1500,Year1600,Year1700,Year1800,Year1900,Year2000,Year2100,Year2200,Year2300,Year2400,Year2500,Year2600,Year2700,Year2800,Year2900,Year3000,Year3100,Year3200,Year3300,Year3400,Year3500,Year3600,Year3700,Year3800,Year3900,Year4000,Year4100,Year4200,Year4300,Year4400,Year4500,Year4600,Year4700,Year4800,Year4900,Year5000,Year5100,Year5200,Year5300,Year5400,Year5500,Year5600,Year5700,Year5800,Year5900,Year6000,Year6100,Year6200,Year6300,Year6400,Year6500,Year6600,Year6700,Year6800,Year6900,Year7000,Year7100,Year7200,Year7300,Year7400,Year7500,Year7600,Year7700,Year7800,Year7900,Year8000,Year8100,Year8200,Year8300,Year8400,Year8500,Year8600,Year8700,Year8800,Year8900,Year9000,Year9100,Year9200,Year9300,Year9400,Year9500,Year9600,Year9700,Year9800,Year9900,Year10000
0.38,0,11,52,66,65,69,87,59,59,59,74,79,76,76,48,65,76,52,63,69,56,63,61,39,40,48,52,60,49,54,44,53,52,54,39,61,37,43,45,59,52,42,47,40,41,46,44,53,43,42,41,41,35,44,36,35,30,40,43,33,36,36,42,43,38,47,32,37,45,47,35,45,42,35,42,38,50,39,40,34,36,51,36,37,33,36,37,42,45,43,36,38,43,34,33,33,33,32,39,33,48
0.39,0,27,51,81,79,82,69,74,102,79,56,73,72,65,59,61,65,57,52,50,44,53,59,56,53,53,61,58,57,43,52,45,47,47,53,44,43,49,44,53,39,50,38,42,53,41,46,47,32,39,40,46,26,39,38,26,35,41,48,50,45,49,37,47,45,32,37,50,36,38,39,42,50,49,49,51,43,35,39,47,34,44,47,48,49,53,29,34,42,41,38,40,40,39,31,37,39,46,44,52,37
0.40,0,23,68,80,94,77,82,89,72,72,76,82,60,60,55,56,57,67,51,61,64,61,55,66,57,53,54,57,50,54,52,64,57,60,37,38,44,46,51,48,39,55,52,47,50,35,46,45,57,39,42,57,61,51,40,48,50,55,38,58,41,40,42,40,34,34,50,36,39,48,48,47,36,43,34,47,35,39,36,36,34,39,44,43,37,45,35,49,31,35,47,34,47,43,41,53,40,37,40,35,43
0.41,0,51,92,93,68,98,75,96,85,75,86,73,66,67,62,56,49,57,64,70,57,60,55,58,59,59,62,54,63,52,59,53,52,47,50,45,55,39,44,39,50,49,56,41,38,41,37,47,46,46,56,54,54,41,53,50,52,46,53,43,52,34,43,38,40,35,41,37,43,39,56,39,41,37,36,40,61,44,34,41,40,39,33,44,51,35,47,43,47,37,39,36,32,45,41,34,52,43,34,43,40
0.42,0,50,82,126,92,87,87,84,78,96,70,75,84,66,74,67,60,54,70,55,52,53,54,72,72,65,62,62,57,51,59,43,64,53,49,53,34,53,44,53,58,47,51,46,51,50,47,39,40,39,34,41,43,42,43,46,51,41,42,37,57,50,50,43,49,39,37,47,32,55,35,45,43,35,51,39,39,55,35,38,36,29,36,39,47,38,39,41,45,41,34,42,50,36,33,41,45,46,38,37,28
0.43,0,71,113,94,79,88,94,77,81,91,82,92,87,83,89,78,63,60,53,58,61,53,64,51,62,47,50,52,51,51,55,66,55,39,52,40,52,40,46,58,53,34,38,58,51,40,52,32,44,53,49,43,40,47,51,56,46,47,50,49,40,43,48,50,54,46,45,34,51,41,48,51,37,52,50,39,40,44,45,56,55,54,45,46,36,33,39,33,38,29,34,40,36,51,47,37,35,39,41,46,46
0.44,0,97,117,79,80,80,84,87,81,106,99,85,84,78,72,59,63,68,60,55,51,52,59,55,45,53,57,47,35,64,53,45,45,50,56,57,45,47,42,46,45,57,35,55,36,45,46,48,39,43,43,28,55,39,53,54,48,43,51,41,40,41,42,50,46,45,32,51,34,39,33,30,45,37,38,43,29,30,42,37,44,42,52,43,29,46,40,34,36,45,46,46,42,35,40,39,40,41,39,37,41
0.45,0,152,116,116,86,97,79,84,97,70,87,81,100,87,78,68,67,73,61,67,57,66,31,42,50,54,53,41,52,58,40,53,35,58,39,38,44,46,54,50,44,34,62,42,59,61,45,41,57,50,46,53,48,47,51,46,46,51,47,46,52,48,45,42,41,53,52,41,57,44,45,40,35,35,39,45,43,46,33,36,40,40,39,34,36,51,32,50,31,40,33,38,40,39,46,39,39,27,43,35,38
0.46,0,212,148,108,106,98,80,83,88,96,90,88,81,79,60,86,62,67,54,39,57,60,46,39,54,46,50,44,64,44,56,39,47,43,49,60,44,50,46,42,47,55,53,52,48,38,35,62,51,43,43,42,39,54,51,44,50,54,51,56,39,55,40,43,45,54,43,45,40,35,44,39,36,44,36,33,46,40,53,39,38,32,38,28,34,32,48,42,46,37,34,42,30,32,42,41,42,34,33,37,41
0.47,0,210,143,129,91,79,84,79,103,100,89,92,84,65,86,61,79,68,63,66,70,48,51,47,40,45,36,49,52,55,37,47,52,42,55,47,55,49,52,50,61,51,49,51,55,52,63,48,44,31,48,51,44,52,42,47,39,42,48,49,50,43,44,46,34,39,41,42,49,46,36,46,46,45,38,26,38,37,39,44,48,37,35,49,49,41,54,33,34,34,44,35,37,36,35,28,38,46,39,30,30
0.48,0,251,134,104,104,86,90,80,81,89,92,83,74,61,66,68,65,57,64,70,53,43,52,45,47,55,52,55,54,60,45,53,39,44,44,52,51,38,52,39,55,39,39,46,56,48,52,43,40,46,47,53,46,49,57,50,46,48,48,50,40,50,42,60,57,52,57,40,42,45,45,43,37,38,53,49,38,39,41,33,54,37,38,29,42,33,46,31,39,35,33,30,38,50,28,35,28,28,34,38,32
0.49,0,238,142,113,84,82,83,83,76,102,73,80,77,99,60,70,69,69,65,64,56,50,44,51,51,51,55,59,54,56,54,45,41,60,43,42,54,58,58,57,37,51,51,41,49,48,44,43,32,47,53,43,53,55,56,52,53,41,39,43,44,48,44,31,38,49,49,51,36,36,26,44,43,40,27,41,42,37,34,40,30,44,37,43,46,48,36,40,35,44,42,38,39,28,38,38,28,29,40,30,32
0.50,3046,259,152,106,74,74,74,99,75,70,81,78,74,79,59,51,50,59,69,56,56,41,56,47,50,46,44,52,48,36,49,45,56,54,54,43,49,58,42,46,45,54,40,45,39,54,40,34,56,46,40,41,62,54,38,50,53,41,32,37,51,45,43,49,52,45,38,44,50,41,41,34,40,42,43,39,35,36,39,42,33,41,44,46,42,33,34,36,41,41,34,36,42,35,31,28,28,25,27,29,22
0.51,0,269,161,114,95,90,95,80,74,88,89,74,84,87,68,61,64,50,65,64,48,62,48,55,51,47,40,50,42,45,60,45,44,47,44,54,38,48,52,50,42,51,43,47,40,38,49,45,46,51,50,50,39,41,48,37,43,50,50,40,49,37,48,34,42,42,42,37,31,40,49,39,38,44,33,34,44,53,41,36,30,47,37,41,31,30,30,34,36,34,34,22,29,35,38,38,28,40,28,30,35
0.52,0,280,126,120,87,73,100,85,76,59,79,94,77,62,80,77,57,64,57,52,60,54,62,51,49,41,67,45,49,52,45,48,53,44,50,41,55,40,42,49,54,41,39,41,35,53,34,45,46,51,36,62,45,40,31,47,37,44,50,53,42,39,39,46,45,35,41,49,38,46,45,38,45,43,32,45,41,31,47,28,47,40,35,41,33,48,38,38,33,25,40,36,46,32,28,32,28,33,30,28,35
0.53,0,194,152,110,105,109,84,83,79,84,64,74,68,53,67,56,61,64,58,50,51,66,43,55,49,45,44,39,48,44,56,52,53,42,47,52,49,46,44,43,43,40,42,42,44,45,56,50,45,45,36,28,47,48,51,33,37,34,39,39,35,39,43,47,36,36,45,39,37,40,38,35,46,37,42,43,37,30,29,42,42,30,42,35,40,33,37,42,44,36,36,47,30,27,35,43,43,28,32,39,39
0.54,0,166,164,110,96,95,103,84,89,76,69,87,83,67,72,67,55,59,54,55,60,46,57,51,48,49,51,64,42,51,43,44,41,48,40,53,61,44,51,52,52,41,46,45,43,30,41,48,48,48,46,40,38,36,36,37,37,42,42,37,31,41,34,43,45,41,48,28,46,31,49,39,37,30,40,43,26,37,31,39,36,35,31,42,41,28,39,34,36,34,36,48,30,43,35,30,33,37,30,25,43
0.55,0,134,136,112,82,91,78,69,79,80,81,80,78,68,81,59,68,61,60,54,59,49,62,69,65,60,49,37,44,46,42,56,38,38,49,40,44,48,43,46,39,37,50,40,46,43,47,51,57,40,43,39,34,42,40,41,48,42,48,36,36,45,39,48,36,51,28,46,44,38,41,44,38,43,41,34,35,35,36,33,29,44,39,35,30,46,45,50,37,45,41,24,35,38,36,35,37,29,32,36,25
