run,year,n,marrs,births,randDs,cullDs,GenetDes,GeneaDes,YDes,MtDes,nCents,nAlleles,nBlocks,TotFitness,nMuts,PercSeedGenoRet,AvSeedGenoCov,AvHet
1,0,100,38,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0.0,%!f(int=00),%!f(int=00),%!f(int=00)
1,100,1000,637,2662,0,256,0,98,19,0,0,0,0,0,0,NaN,0.0,%!f(int=00),%!f(int=00),%!f(int=00)
1,200,1000,1645,4133,0,1203,0,516,15,0,0,0,0,0,0,NaN,0.0,%!f(int=00),%!f(int=00),%!f(int=00)
1,300,994,1558,3843,0,892,0,952,11,0,0,0,0,0,0,NaN,0.0,%!f(int=00),%!f(int=00),%!f(int=00)
1,400,1000,1649,3986,0,890,0,996,19,0,0,0,0,0,0,NaN,0.0,%!f(int=00),%!f(int=00),%!f(int=00)
1,500,1000,1671,3980,0,894,0,1000,17,0,0,0,0,0,0,NaN,0.0,%!f(int=00),%!f(int=00),%!f(int=00)
1,600,1000,1723,3905,0,847,0,1000,21,0,0,0,0,0,0,NaN,0.0,%!f(int=00),%!f(int=00),%!f(int=00)
1,700,1000,1682,3957,0,888,0,1000,46,0,0,0,0,0,0,NaN,0.0,%!f(int=00),%!f(int=00),%!f(int=00)
1,800,994,1599,3695,0,693,0,994,57,0,0,0,0,0,0,NaN,0.0,%!f(int=00),%!f(int=00),%!f(int=00)
1,900,1000,1578,3609,0,657,0,1000,48,0,0,0,0,0,0,NaN,0.0,%!f(int=00),%!f(int=00),%!f(int=00)
1,1000,1000,1671,3859,0,788,0,1000,56,0,0,0,0,0,0,NaN,0.0,%!f(int=00),%!f(int=00),%!f(int=00)
1,1100,1000,1654,3914,0,783,0,1000,43,0,0,0,0,0,0,NaN,0.0,%!f(int=00),%!f(int=00),%!f(int=00)
1,1200,1000,1657,3954,0,833,0,1000,53,0,0,0,0,0,0,NaN,0.0,%!f(int=00),%!f(int=00),%!f(int=00)
1,1300,1000,1622,3659,0,594,0,1000,58,0,0,0,0,0,0,NaN,0.0,%!f(int=00),%!f(int=00),%!f(int=00)
1,1400,1000,1697,3950,0,1003,0,1000,66,0,0,0,0,0,0,NaN,0.0,%!f(int=00),%!f(int=00),%!f(int=00)
1,1500,1000,1588,3826,0,678,0,1000,74,0,0,0,0,0,0,NaN,0.0,%!f(int=00),%!f(int=00),%!f(int=00)
1,1600,1000,1705,4066,0,1007,0,1000,68,0,0,0,0,0,0,NaN,0.0,%!f(int=00),%!f(int=00),%!f(int=00)
1,1700,1000,1606,3773,0,807,0,1000,25,0,0,0,0,0,0,NaN,0.0,%!f(int=00),%!f(int=00),%!f(int=00)
1,1800,1000,1582,3606,0,591,0,1000,29,0,0,0,0,0,0,NaN,0.0,%!f(int=00),%!f(int=00),%!f(int=00)
1,1900,1000,1688,3856,0,769,0,1000,17,0,0,0,0,0,0,NaN,0.0,%!f(int=00),%!f(int=00),%!f(int=00)
1,2000,1000,1656,3936,0,885,0,1000,36,0,0,0,0,0,0,NaN,0.0,%!f(int=00),%!f(int=00),%!f(int=00)
